yali0,yali1
YALI0_A00264g,YALI1_A00309g
YALI0_A01133g,YALI1_A01602g
YALI0_A02310g,YALI1_A02775g
YALI0_A02453g,YALI1_A02974g
YALI0_A02541g,YALI1_A03069g
YALI0_A02915g,YALI1_A03322g
YALI0_A03135g,YALI1_A03512g
YALI0_A04675g,YALI1_A04817g
YALI0_A04983g,YALI1_A05116g
YALI0_A05379g,YALI1_A05459g
YALI0_A06655g,YALI1_A06361g
YALI0_A06787g,YALI1_A06453g
YALI0_A07579g,YALI1_A07103g
YALI0_A08041g,YALI1_A07575g
YALI0_A08668g,YALI1_A08512g
YALI0_A09427g,YALI1_A09121g
YALI0_A09636g,YALI1_A09408g
YALI0_A09856g,YALI1_A09694g
YALI0_A09900g,YALI1_A09766g
YALI0_A10032g,YALI1_A09911g
YALI0_A10076g,YALI1_A09939g
YALI0_A10310g,YALI1_A10254g
YALI0_A11143g,YALI1_A11258g
YALI0_A12045g,YALI1_A12284g
YALI0_A13387g,YALI1_A13454g
YALI0_A14157g,YALI1_A13994g
YALI0_A14212g,YALI1_A14024g
YALI0_A14498g,YALI1_A14287g
YALI0_A14784g,YALI1_A14721g
YALI0_A15125g,YALI1_A15132g
YALI0_A15147g,YALI1_A15227g
YALI0_A15972g,YALI1_A15925g
YALI0_A16379g,YALI1_A16292g
YALI0_A16863g,YALI1_A16988g
YALI0_A17468g,YALI1_A17570g
YALI0_A18062g,YALI1_A18344g
YALI0_A18183g,YALI1_A18514g
YALI0_A19074g,YALI1_A20063g
YALI0_A19096g,YALI1_A20089g
YALI0_A19206g,YALI1_A20176g
YALI0_A19558g,YALI1_A20528g
YALI0_A20108g,YALI1_A21156g
YALI0_A20295g,YALI1_A21311g
YALI0_A20922g,YALI1_A21970g
YALI0_A21153g,YALI1_A22129g
YALI0_A21263g,YALI1_A22228g
YALI0_A21307g,YALI1_A22275g
YALI0_A21417g,YALI1_A22440g
YALI0_B00220g,YALI1_B00214g
YALI0_B00396g,YALI1_B00357g
YALI0_B00572g,YALI1_B00578g
YALI0_B00726g,YALI1_B01084g
YALI0_B00836g,YALI1_B01428g
YALI0_B01364g,YALI1_B02345g
YALI0_B01540g,YALI1_B02487g
YALI0_B01672g,YALI1_B02637g
YALI0_B01826g,YALI1_B02806g
YALI0_B02222g,YALI1_B03314g
YALI0_B02376g,YALI1_B03719g
YALI0_B02728g,YALI1_B04138g
YALI0_B02852g,YALI1_B04309g
YALI0_B02948g,YALI1_B04433g
YALI0_B03344g,YALI1_B04831g
YALI0_B03564g,YALI1_B05024g
YALI0_B03982g,YALI1_B05364g
YALI0_B04202g,YALI1_B05609g
YALI0_B04312g,YALI1_B05798g
YALI0_B05126g,YALI1_B07094g
YALI0_B05368g,YALI1_B07366g
YALI0_B05918g,YALI1_B07957g
YALI0_B06006g,YALI1_B08123g
YALI0_B06831g,YALI1_B08885g
YALI0_B07227g,YALI1_B09299g
YALI0_B08052g,YALI1_B10525g
YALI0_B08140g,YALI1_B10635g
YALI0_B08184g,YALI1_B10813g
YALI0_B08536g,YALI1_B11532g
YALI0_B08943g,YALI1_B12010g
YALI0_B08965g,YALI1_B12042g
YALI0_B09537g,YALI1_B12781g
YALI0_B09625g,YALI1_B12966g
YALI0_B09647g,YALI1_B12993g
YALI0_B09845g,YALI1_B13179g
YALI0_B10340g,YALI1_B13948g
YALI0_B10736g,YALI1_B14382g
YALI0_B11044g,YALI1_B14733g
YALI0_B11154g,YALI1_B14826g
YALI0_B11286g,YALI1_B14978g
YALI0_B12078g,YALI1_B15928g
YALI0_B13398g,YALI1_B17838g
YALI0_B13420g,YALI1_B17871g
YALI0_B13464g,YALI1_B17927g
YALI0_B13552g,YALI1_B18012g
YALI0_B13970g,YALI1_B18499g
YALI0_B14399g,YALI1_B18955g
YALI0_B14465g,YALI1_B19021g
YALI0_B14509g,YALI1_B19079g
YALI0_B14729g,YALI1_B19348g
YALI0_B14839g,YALI1_B19490g
YALI0_B15059g,YALI1_B19844g
YALI0_B15125g,YALI1_B19932g
YALI0_B15304g,YALI1_B20153g
YALI0_B15444g,YALI1_B20289g
YALI0_B15598g,YALI1_B20462g
YALI0_B15664g,YALI1_B20527g
YALI0_B15884g,YALI1_B20835g
YALI0_B16038g,YALI1_B21004g
YALI0_B16104g,YALI1_B21070g
YALI0_B16126g,YALI1_B21088g
YALI0_B16324g,YALI1_B21313g
YALI0_B16522g,YALI1_B21538g
YALI0_B17204g,YALI1_B22375g
YALI0_B17336g,YALI1_B22549g
YALI0_B17402g,YALI1_B22614g
YALI0_B17644g,YALI1_B22820g
YALI0_B17666g,YALI1_B22853g
YALI0_B17864g,YALI1_B23153g
YALI0_B17930g,YALI1_B23237g
YALI0_B17996g,YALI1_B23300g
YALI0_B18348g,YALI1_B23834g
YALI0_B18759g,YALI1_B24424g
YALI0_B18898g,YALI1_B24638g
YALI0_B19338g,YALI1_B25360g
YALI0_B19382g,YALI1_B25427g
YALI0_B19492g,YALI1_B25553g
YALI0_B19800g,YALI1_B25906g
YALI0_B19998g,YALI1_B26112g
YALI0_B20020g,YALI1_B26153g
YALI0_B20196g,YALI1_B26350g
YALI0_B20438g,YALI1_B26749g
YALI0_B21142g,YALI1_B27564g
YALI0_B21428g,YALI1_B27874g
YALI0_B22066g,YALI1_B28659g
YALI0_B22682g,YALI1_B29562g
YALI0_B22902g,YALI1_B29867g
YALI0_B23188g,YALI1_B30090g
YALI0_B23298g,YALI1_B30181g
YALI0_C00209g,YALI1_C00230g
YALI0_C00253g,YALI1_C00293g
YALI0_C00451g,YALI1_C00550g
YALI0_C00759g,YALI1_C00999g
YALI0_C01111g,YALI1_C01520g
YALI0_C01716g,YALI1_C02391g
YALI0_C02431g,YALI1_C03415g
YALI0_C03003g,YALI1_C04067g
YALI0_C03025g,YALI1_C04093g
YALI0_C03179g,YALI1_C04265g
YALI0_C03223g,YALI1_C04302g
YALI0_C03674g,YALI1_C04882g
YALI0_C04180g,YALI1_C05570g
YALI0_C04433g,YALI1_C05908g
YALI0_C05258g,YALI1_C06681g
YALI0_C05467g,YALI1_C06951g
YALI0_C05753g,YALI1_C07423g
YALI0_C05951g,YALI1_C07638g
YALI0_C06083g,YALI1_C07816g
YALI0_C06281g,YALI1_C08173g
YALI0_C06303g,YALI1_C08197g
YALI0_C06369g,YALI1_C08262g
YALI0_C06446g,YALI1_C08548g
YALI0_C06490g,YALI1_C08702g
YALI0_C06732g,YALI1_C08983g
YALI0_C06776g,YALI1_C09033g
YALI0_C06952g,YALI1_C09308g
YALI0_C07128g,YALI1_C09467g
YALI0_C07414g,YALI1_C09773g
YALI0_C07678g,YALI1_C10232g
YALI0_C09119g,YALI1_C12619g
YALI0_C09889g,YALI1_C13768g
YALI0_C10780g,YALI1_C15180g
YALI0_C10901g,YALI1_C15297g
YALI0_C10989g,YALI1_C15420g
YALI0_C11363g,YALI1_C15945g
YALI0_C11407g,YALI1_C15991g
YALI0_C11880g,YALI1_C16621g
YALI0_C12749g,YALI1_C17932g
YALI0_C12771g,YALI1_C17947g
YALI0_C13090g,YALI1_C18258g
YALI0_C13354g,YALI1_C18590g
YALI0_C13508g,YALI1_C18771g
YALI0_C14036g,YALI1_C19814g
YALI0_C14190g,YALI1_C19943g
YALI0_C14498g,YALI1_C20198g
YALI0_C14520g,YALI1_C20224g
YALI0_C15224g,YALI1_C21487g
YALI0_C15554g,YALI1_C22186g
YALI0_C15807g,YALI1_C22751g
YALI0_C16434g,YALI1_C23511g
YALI0_C16885g,YALI1_C24124g
YALI0_C16995g,YALI1_C24367g
YALI0_C17237g,YALI1_C24567g
YALI0_C17831g,YALI1_C25029g
YALI0_C17941g,YALI1_C25093g
YALI0_C18205g,YALI1_C25352g
YALI0_C18425g,YALI1_C25598g
YALI0_C18535g,YALI1_C25782g
YALI0_C18755g,YALI1_C26017g
YALI0_C18799g,YALI1_C26036g
YALI0_C19195g,YALI1_C26544g
YALI0_C19624g,YALI1_C26939g
YALI0_C19712g,YALI1_C27061g
YALI0_C19965g,YALI1_C27933g
YALI0_C20251g,YALI1_C28263g
YALI0_C20405g,YALI1_C28479g
YALI0_C21065g,YALI1_C29104g
YALI0_C22165g,YALI1_C30514g
YALI0_C23034g,YALI1_C31830g
YALI0_C23210g,YALI1_C32031g
YALI0_C23342g,YALI1_C32156g
YALI0_C23408g,YALI1_C32276g
YALI0_C23793g,YALI1_C32810g
YALI0_C23969g,YALI1_C33005g
YALI0_C24354g,YALI1_C33406g
YALI0_D00495g,YALI1_D00515g
YALI0_D00583g,YALI1_D00581g
YALI0_D00605g,YALI1_D00614g
YALI0_D01089g,YALI1_D01188g
YALI0_D01265g,YALI1_D01431g
YALI0_D01309g,YALI1_D01489g
YALI0_D01694g,YALI1_D02000g
YALI0_D02497g,YALI1_D03047g
YALI0_D02629g,YALI1_D03221g
YALI0_D03069g,YALI1_D03865g
YALI0_D03135g,YALI1_D03952g
YALI0_D03480g,YALI1_D04432g
YALI0_D03619g,YALI1_D04566g
YALI0_D04202g,YALI1_D05270g
YALI0_D04246g,YALI1_D05320g
YALI0_D04378g,YALI1_D05440g
YALI0_D04741g,YALI1_D05873g
YALI0_D05621g,YALI1_D07232g
YALI0_D05797g,YALI1_D07451g
YALI0_D05929g,YALI1_D07576g
YALI0_D06303g,YALI1_D08082g
YALI0_D06325g,YALI1_D08125g
YALI0_D06501g,YALI1_D08339g
YALI0_D06930g,YALI1_D08884g
YALI0_D06974g,YALI1_D08946g
YALI0_D07062g,YALI1_D09034g
YALI0_D07370g,YALI1_D09420g
YALI0_D07392g,YALI1_D09453g
YALI0_D08514g,YALI1_D10930g
YALI0_D08778g,YALI1_D11256g
YALI0_D09229g,YALI1_D11686g
YALI0_D09273g,YALI1_D11769g
YALI0_D09361g,YALI1_D11984g
YALI0_D09867g,YALI1_D12493g
YALI0_D10131g,YALI1_D12832g
YALI0_D10593g,YALI1_D13238g
YALI0_D11110g,YALI1_D13963g
YALI0_D11176g,YALI1_D14058g
YALI0_D11374g,YALI1_D14260g
YALI0_D11616g,YALI1_D14453g
YALI0_D11704g,YALI1_D14532g
YALI0_D11814g,YALI1_D14639g
YALI0_D11836g,YALI1_D14670g
YALI0_D12386g,YALI1_D15398g
YALI0_D12584g,YALI1_D15734g
YALI0_D13596g,YALI1_D16809g
YALI0_D14322g,YALI1_D17482g
YALI0_D14476g,YALI1_D17620g
YALI0_D14762g,YALI1_D17983g
YALI0_D14894g,YALI1_D18130g
YALI0_D15268g,YALI1_D18577g
YALI0_D15400g,YALI1_D18845g
YALI0_D15422g,YALI1_D18890g
YALI0_D15598g,YALI1_D19108g
YALI0_D16269g,YALI1_D20061g
YALI0_D16357g,YALI1_D20222g
YALI0_D16753g,YALI1_D20676g
YALI0_D16797g,YALI1_D20706g
YALI0_D17050g,YALI1_D21022g
YALI0_D17072g,YALI1_D21023g
YALI0_D17402g,YALI1_D21408g
YALI0_D17490g,YALI1_D21476g
YALI0_D17534g,YALI1_D21511g
YALI0_D17556g,YALI1_D21543g
YALI0_D17688g,YALI1_D21631g
YALI0_D17842g,YALI1_D22083g
YALI0_D17864g,YALI1_D22124g
YALI0_D17930g,YALI1_D22237g
YALI0_D18271g,YALI1_D22834g
YALI0_D18337g,YALI1_D22906g
YALI0_D18403g,YALI1_D23067g
YALI0_D18458g,YALI1_D23128g
YALI0_D19140g,YALI1_D24249g
YALI0_D19206g,YALI1_D24361g
YALI0_D19426g,YALI1_D24649g
YALI0_D20262g,YALI1_D25664g
YALI0_D20878g,YALI1_D26496g
YALI0_D21530g,YALI1_D27148g
YALI0_D21604g,YALI1_D27274g
YALI0_D22022g,YALI1_D27826g
YALI0_D22264g,YALI1_D28087g
YALI0_D22484g,YALI1_D28569g
YALI0_D22847g,YALI1_D29419g
YALI0_D22891g,YALI1_D29481g
YALI0_D23331g,YALI1_D30196g
YALI0_D23397g,YALI1_D30256g
YALI0_D23639g,YALI1_D30570g
YALI0_D23683g,YALI1_D30618g
YALI0_D24409g,YALI1_D32209g
YALI0_D24750g,YALI1_D32754g
YALI0_D25168g,YALI1_D33380g
YALI0_D25234g,YALI1_D33465g
YALI0_D25476g,YALI1_D33780g
YALI0_D25564g,YALI1_D33889g
YALI0_D25630g,YALI1_D33961g
YALI0_D26147g,YALI1_D34529g
YALI0_D26367g,YALI1_D34865g
YALI0_D27016g,YALI1_D35593g
YALI0_D27126g,YALI1_D35735g
YALI0_D27170g,YALI1_D35787g
YALI0_E00242g,YALI1_E00574g
YALI0_E00264g,YALI1_E00588g
YALI0_E00418g,YALI1_E00760g
YALI0_E00528g,YALI1_E00907g
YALI0_E00638g,YALI1_E01019g
YALI0_E00836g,YALI1_E01235g
YALI0_E01254g,YALI1_E01793g
YALI0_E01892g,YALI1_E02413g
YALI0_E02090g,YALI1_E02616g
YALI0_E02244g,YALI1_E02832g
YALI0_E02288g,YALI1_E02885g
YALI0_E02310g,YALI1_E02906g
YALI0_E02684g,YALI1_E03300g
YALI0_E02728g,YALI1_E03387g
YALI0_E03058g,YALI1_E03623g
YALI0_E03146g,YALI1_E03762g
YALI0_E03806g,YALI1_E04590g
YALI0_E03960g,YALI1_E04744g
YALI0_E04048g,YALI1_E04823g
YALI0_E04224g,YALI1_E05103g
YALI0_E04763g,YALI1_E05701g
YALI0_E04807g,YALI1_E05731g
YALI0_E05005g,YALI1_E05907g
YALI0_E05027g,YALI1_E05929g
YALI0_E05137g,YALI1_E06015g
YALI0_E05203g,YALI1_E06056g
YALI0_E05665g,YALI1_E06664g
YALI0_E05753g,YALI1_E06759g
YALI0_E06061g,YALI1_E07347g
YALI0_E06193g,YALI1_E07506g
YALI0_E06457g,YALI1_E07676g
YALI0_E06479g,YALI1_E07744g
YALI0_E06567g,YALI1_E07899g
YALI0_E07205g,YALI1_E08575g
YALI0_E07271g,YALI1_E08620g
YALI0_E07535g,YALI1_E08937g
YALI0_E07744g,YALI1_E09241g
YALI0_E08360g,YALI1_E10210g
YALI0_E08617g,YALI1_E10492g
YALI0_E09108g,YALI1_E11255g
YALI0_E09306g,YALI1_E11510g
YALI0_E09603g,YALI1_E11943g
YALI0_E09933g,YALI1_E12482g
YALI0_E10144g,YALI1_E12730g
YALI0_E10219g,YALI1_E12893g
YALI0_E10637g,YALI1_E13514g
YALI0_E11355g,YALI1_E14125g
YALI0_E11385g,YALI1_E14153g
YALI0_E11495g,YALI1_E14316g
YALI0_E11671g,YALI1_E14505g
YALI0_E11913g,YALI1_E14709g
YALI0_E12089g,YALI1_E14925g
YALI0_E12441g,YALI1_E15432g
YALI0_E12463g,YALI1_E15452g
YALI0_E12628g,YALI1_E15606g
YALI0_E12683g,YALI1_E15659g
YALI0_E13123g,YALI1_E16068g
YALI0_E14322g,YALI1_E17355g
YALI0_E14443g,YALI1_E17431g
YALI0_E14685g,YALI1_E17616g
YALI0_E14751g,YALI1_E17754g
YALI0_E15180g,YALI1_E18242g
YALI0_E15224g,YALI1_E18269g
YALI0_E15730g,YALI1_E18961g
YALI0_E16016g,YALI1_E19172g
YALI0_E16060g,YALI1_E19263g
YALI0_E16192g,YALI1_E19360g
YALI0_E16346g,YALI1_E19557g
YALI0_E16434g,YALI1_E19647g
YALI0_E16478g,YALI1_E19682g
YALI0_E16709g,YALI1_E19902g
YALI0_E16753g,YALI1_E19958g
YALI0_E16797g,YALI1_E20049g
YALI0_E16907g,YALI1_E20159g
YALI0_E16929g,YALI1_E20192g
YALI0_E17347g,YALI1_E20626g
YALI0_E17479g,YALI1_E20751g
YALI0_E17633g,YALI1_E20885g
YALI0_E17787g,YALI1_E21128g
YALI0_E17919g,YALI1_E21230g
YALI0_E17963g,YALI1_E21312g
YALI0_E17985g,YALI1_E21345g
YALI0_E18029g,YALI1_E21406g
YALI0_E18282g,YALI1_E21983g
YALI0_E18568g,YALI1_E22238g
YALI0_E18634g,YALI1_E22303g
YALI0_E18898g,YALI1_E22633g
YALI0_E18942g,YALI1_E22718g
YALI0_E18964g,YALI1_E22736g
YALI0_E19448g,YALI1_E23292g
YALI0_E19723g,YALI1_E23635g
YALI0_E20361g,YALI1_E24149g
YALI0_E20977g,YALI1_E24922g
YALI0_E21021g,YALI1_E25018g
YALI0_E21197g,YALI1_E25290g
YALI0_E21351g,YALI1_E25443g
YALI0_E21934g,YALI1_E25932g
YALI0_E22649g,YALI1_E26811g
YALI0_E22957g,YALI1_E27113g
YALI0_E22979g,YALI1_E27144g
YALI0_E23859g,YALI1_E28300g
YALI0_E24013g,YALI1_E28575g
YALI0_E24057g,YALI1_E28631g
YALI0_E24167g,YALI1_E28779g
YALI0_E24607g,YALI1_E29319g
YALI0_E25069g,YALI1_E30014g
YALI0_E25091g,YALI1_E30028g
YALI0_E25652g,YALI1_E30400g
YALI0_E25740g,YALI1_E30496g
